suspicious_permissions,network_operations,file_encryption_ops,sensitive_api_calls,aviation_app_impersonation,data_size_exfiltrated,background_processes,flight_plan_access_frequency,label,threat_name
5,81,1,3,1,0.5824392864752549,3,26,0,FLIGHT_PLAN_INJECTION
3,105,3,3,1,32.43039502909536,4,16,1,EFB_DATA_EXFILTRATION
2,30,3,4,1,1.1087757083025591,3,25,0,FLIGHT_PLAN_INJECTION
5,84,3,5,1,0.5601038827271092,3,43,0,FLIGHT_PLAN_INJECTION
4,119,5,3,1,9.063039652448374,3,13,1,EFB_DATA_EXFILTRATION
4,129,7,3,1,31.59018244347088,5,8,1,EFB_DATA_EXFILTRATION
4,48,4,6,1,1.8869942025302475,4,37,0,FLIGHT_PLAN_INJECTION
5,47,5,2,1,2.48618039700828,6,19,2,MAINTENANCE_LOG_TAMPERING
5,45,2,3,1,1.081608193414927,2,21,0,FLIGHT_PLAN_INJECTION
1,16,0,0,0,0.4502090285816652,1,0,3,BENIGN
4,77,4,5,1,1.7270161545683758,3,43,0,FLIGHT_PLAN_INJECTION
6,30,5,5,1,7.960736185582464,7,29,2,MAINTENANCE_LOG_TAMPERING
6,138,5,1,1,5.227771273079841,6,18,1,EFB_DATA_EXFILTRATION
4,84,7,1,1,12.916636370480543,6,5,1,EFB_DATA_EXFILTRATION
6,69,5,1,1,18.862735633357516,6,16,1,EFB_DATA_EXFILTRATION
4,71,7,3,1,45.1420949829701,5,15,1,EFB_DATA_EXFILTRATION
3,47,5,2,1,2.686760048294775,7,28,2,MAINTENANCE_LOG_TAMPERING
6,98,3,2,1,47.92678596511643,3,10,1,EFB_DATA_EXFILTRATION
3,86,7,1,1,29.874423507597047,5,7,1,EFB_DATA_EXFILTRATION
2,17,0,0,0,0.09545551557517301,1,2,3,BENIGN
2,83,2,5,1,1.1831162231697934,3,34,0,FLIGHT_PLAN_INJECTION
1,19,0,0,0,0.14764529420946937,2,0,3,BENIGN
3,62,9,3,1,8.18893097704588,6,27,2,MAINTENANCE_LOG_TAMPERING
7,79,6,4,1,5.264404799528396,4,29,2,MAINTENANCE_LOG_TAMPERING
6,70,8,3,1,1.3928284284882555,6,28,2,MAINTENANCE_LOG_TAMPERING
5,111,7,2,1,31.587496725605483,4,5,1,EFB_DATA_EXFILTRATION
3,44,2,5,1,0.3414149740385811,2,27,0,FLIGHT_PLAN_INJECTION
6,63,9,4,1,1.310800917440796,4,29,2,MAINTENANCE_LOG_TAMPERING
5,104,6,1,1,48.62915902013715,4,18,1,EFB_DATA_EXFILTRATION
5,92,3,6,1,1.5136810216983192,3,24,0,FLIGHT_PLAN_INJECTION
3,52,3,3,1,1.4081498114541962,2,45,0,FLIGHT_PLAN_INJECTION
2,6,1,0,0,0.27461333235306024,2,0,3,BENIGN
7,20,9,4,1,6.742557620751585,4,12,2,MAINTENANCE_LOG_TAMPERING
5,80,1,3,1,0.749571366761163,2,34,0,FLIGHT_PLAN_INJECTION
3,91,4,7,1,1.000930275265918,3,45,0,FLIGHT_PLAN_INJECTION
5,149,3,2,1,24.523324215708787,5,14,1,EFB_DATA_EXFILTRATION
7,55,6,5,1,4.058819838951477,5,28,2,MAINTENANCE_LOG_TAMPERING
3,118,7,3,1,47.49132187063253,6,15,1,EFB_DATA_EXFILTRATION
6,69,7,5,1,1.7207533557221466,4,28,2,MAINTENANCE_LOG_TAMPERING
6,22,5,2,1,6.689105332648985,6,21,2,MAINTENANCE_LOG_TAMPERING
5,75,2,7,1,0.27944162543626394,4,42,0,FLIGHT_PLAN_INJECTION
5,55,2,4,1,0.747186681982056,4,28,0,FLIGHT_PLAN_INJECTION
4,124,7,1,1,41.156641867318186,3,8,1,EFB_DATA_EXFILTRATION
2,53,4,5,1,1.9819597698012792,3,36,0,FLIGHT_PLAN_INJECTION
7,31,5,4,1,7.633275144019225,4,12,2,MAINTENANCE_LOG_TAMPERING
2,91,4,3,1,0.7080942419581623,4,38,0,FLIGHT_PLAN_INJECTION
6,110,3,3,1,9.10790045537601,5,16,1,EFB_DATA_EXFILTRATION
2,14,0,0,0,0.04164220559762982,1,2,3,BENIGN
6,78,9,5,1,9.488848157376058,7,16,2,MAINTENANCE_LOG_TAMPERING
3,87,3,4,1,0.9389079526094163,4,48,0,FLIGHT_PLAN_INJECTION
4,125,3,2,1,42.66337434068182,3,17,1,EFB_DATA_EXFILTRATION
7,59,6,2,1,8.307670563258384,5,11,2,MAINTENANCE_LOG_TAMPERING
2,67,3,7,1,0.8042200794270927,2,26,0,FLIGHT_PLAN_INJECTION
1,16,0,0,0,0.24083349398205767,2,2,3,BENIGN
4,68,2,5,1,0.5819961303589636,3,47,0,FLIGHT_PLAN_INJECTION
6,141,7,3,1,34.21446359522286,3,7,1,EFB_DATA_EXFILTRATION
4,112,6,1,1,8.73010947620094,3,10,1,EFB_DATA_EXFILTRATION
4,93,7,1,1,6.9421960377759255,3,10,1,EFB_DATA_EXFILTRATION
0,8,0,0,0,0.34770556155332377,1,1,3,BENIGN
2,43,3,3,1,1.2923603521597207,3,22,0,FLIGHT_PLAN_INJECTION
0,15,1,0,0,0.4793512037039231,2,3,3,BENIGN
2,37,2,6,1,1.3290118871705754,3,47,0,FLIGHT_PLAN_INJECTION
6,90,6,3,1,36.417277130888536,3,13,1,EFB_DATA_EXFILTRATION
6,126,6,1,1,10.993330635068737,5,17,1,EFB_DATA_EXFILTRATION
2,9,0,0,0,0.4595882759177798,2,1,3,BENIGN
3,82,3,2,1,49.4274258191725,3,15,1,EFB_DATA_EXFILTRATION
5,138,5,3,1,30.608666112458643,3,6,1,EFB_DATA_EXFILTRATION
4,30,1,6,1,1.6445119173471474,4,24,0,FLIGHT_PLAN_INJECTION
0,11,0,0,0,0.36306042203592404,2,1,3,BENIGN
3,127,3,2,1,16.31490977803093,3,17,1,EFB_DATA_EXFILTRATION
2,61,2,6,1,0.610477715848084,4,45,0,FLIGHT_PLAN_INJECTION
4,52,5,2,1,43.34816751433431,4,16,1,EFB_DATA_EXFILTRATION
4,106,3,3,1,6.295220434100254,5,9,1,EFB_DATA_EXFILTRATION
4,30,7,4,1,1.7955290180743129,7,11,2,MAINTENANCE_LOG_TAMPERING
4,131,5,3,1,45.68714125221868,6,13,1,EFB_DATA_EXFILTRATION
6,128,6,2,1,32.993901510254304,5,5,1,EFB_DATA_EXFILTRATION
1,12,0,0,0,0.2460581465397691,2,3,3,BENIGN
4,55,7,2,1,19.793822462937868,5,15,1,EFB_DATA_EXFILTRATION
4,52,3,5,1,0.3637716280338793,2,22,0,FLIGHT_PLAN_INJECTION
5,48,6,2,1,2.3267456786823724,6,14,2,MAINTENANCE_LOG_TAMPERING
4,110,7,2,1,10.428614199527036,3,16,1,EFB_DATA_EXFILTRATION
3,78,2,4,1,1.411750174395794,2,45,0,FLIGHT_PLAN_INJECTION
3,41,7,4,1,4.084216669799689,4,13,2,MAINTENANCE_LOG_TAMPERING
3,54,9,5,1,2.488818571698748,6,23,2,MAINTENANCE_LOG_TAMPERING
4,64,6,3,1,1.9035213731091536,6,16,2,MAINTENANCE_LOG_TAMPERING
5,66,8,2,1,8.738542320209872,5,12,2,MAINTENANCE_LOG_TAMPERING
6,138,7,2,1,30.378429140847636,3,11,1,EFB_DATA_EXFILTRATION
3,73,1,3,1,0.7515610421286945,2,23,0,FLIGHT_PLAN_INJECTION
3,67,6,3,1,38.15701139277108,5,12,1,EFB_DATA_EXFILTRATION
6,132,4,1,1,20.185107524236315,6,14,1,EFB_DATA_EXFILTRATION
5,75,7,2,1,3.638310572168683,4,10,2,MAINTENANCE_LOG_TAMPERING
2,99,2,6,1,1.716553283888678,3,49,0,FLIGHT_PLAN_INJECTION
3,74,7,4,1,0.6733035735694299,4,13,2,MAINTENANCE_LOG_TAMPERING
1,6,1,0,0,0.48473521663768443,2,0,3,BENIGN
4,100,3,2,1,30.05433018562684,6,14,1,EFB_DATA_EXFILTRATION
5,34,2,4,1,0.7149905491680629,4,39,0,FLIGHT_PLAN_INJECTION
3,61,3,2,1,39.55007756492775,4,9,1,EFB_DATA_EXFILTRATION
5,149,7,3,1,31.724739390105448,4,6,1,EFB_DATA_EXFILTRATION
3,72,4,2,1,19.505923023862536,4,8,1,EFB_DATA_EXFILTRATION
2,46,1,5,1,0.9990157819985952,3,42,0,FLIGHT_PLAN_INJECTION
3,24,8,5,1,4.380923782891211,4,20,2,MAINTENANCE_LOG_TAMPERING
2,7,0,0,0,0.3705603246450295,2,3,3,BENIGN
5,60,9,3,1,8.095602743735398,6,14,2,MAINTENANCE_LOG_TAMPERING
5,33,6,3,1,3.9088895991732735,4,19,2,MAINTENANCE_LOG_TAMPERING
6,121,5,1,1,18.562004337386394,5,19,1,EFB_DATA_EXFILTRATION
3,66,3,3,1,22.275104961794515,4,9,1,EFB_DATA_EXFILTRATION
2,11,0,0,0,0.2157640715682213,1,2,3,BENIGN
6,64,7,1,1,29.00574913893447,5,15,1,EFB_DATA_EXFILTRATION
3,52,9,2,1,7.896433420982135,4,13,2,MAINTENANCE_LOG_TAMPERING
4,54,5,2,1,20.393678692215836,4,17,1,EFB_DATA_EXFILTRATION
5,81,4,7,1,1.1257352105143899,2,34,0,FLIGHT_PLAN_INJECTION
3,51,5,3,1,31.929921554235214,6,8,1,EFB_DATA_EXFILTRATION
5,24,8,4,1,9.611210548358263,7,15,2,MAINTENANCE_LOG_TAMPERING
4,76,2,5,1,0.3913676659205524,2,27,0,FLIGHT_PLAN_INJECTION
3,146,6,3,1,46.94532271176256,6,8,1,EFB_DATA_EXFILTRATION
7,27,6,2,1,5.974739421584725,5,18,2,MAINTENANCE_LOG_TAMPERING
3,127,3,2,1,45.980878921507085,3,18,1,EFB_DATA_EXFILTRATION
3,65,2,3,1,0.731078184044384,3,42,0,FLIGHT_PLAN_INJECTION
4,50,3,3,1,1.5140743385022488,3,39,0,FLIGHT_PLAN_INJECTION
4,60,7,4,1,4.437793549934463,5,20,2,MAINTENANCE_LOG_TAMPERING
2,6,0,0,0,0.3687506240548742,1,2,3,BENIGN
4,80,2,3,1,1.0468987682050115,3,40,0,FLIGHT_PLAN_INJECTION
0,17,0,0,0,0.13879358631470906,2,3,3,BENIGN
2,78,4,6,1,1.1166324659739515,2,26,0,FLIGHT_PLAN_INJECTION
3,143,5,3,1,40.990190993342125,4,18,1,EFB_DATA_EXFILTRATION
2,59,4,5,1,0.2248464149138695,3,38,0,FLIGHT_PLAN_INJECTION
4,141,3,2,1,27.365537696956206,5,19,1,EFB_DATA_EXFILTRATION
5,58,3,5,1,0.8092877009315306,3,38,0,FLIGHT_PLAN_INJECTION
6,52,8,5,1,7.301736174050276,4,17,2,MAINTENANCE_LOG_TAMPERING
4,96,4,5,1,1.0604649703014641,3,44,0,FLIGHT_PLAN_INJECTION
5,70,5,5,1,2.762736419943902,5,12,2,MAINTENANCE_LOG_TAMPERING
3,61,4,5,1,1.9290337052542619,2,41,0,FLIGHT_PLAN_INJECTION
4,84,4,4,1,0.12470365467039847,4,20,0,FLIGHT_PLAN_INJECTION
4,48,4,7,1,0.900706646125746,3,20,0,FLIGHT_PLAN_INJECTION
6,30,6,4,1,4.1070778775890355,6,21,2,MAINTENANCE_LOG_TAMPERING
7,57,5,3,1,8.680146189759855,6,29,2,MAINTENANCE_LOG_TAMPERING
0,14,1,0,0,0.24371559912475682,2,0,3,BENIGN
3,63,3,2,1,33.50651989217663,5,13,1,EFB_DATA_EXFILTRATION
4,33,2,4,1,1.8110873723491328,3,42,0,FLIGHT_PLAN_INJECTION
4,40,6,5,1,5.231862158354555,5,26,2,MAINTENANCE_LOG_TAMPERING
4,125,7,2,1,11.300834239720205,5,13,1,EFB_DATA_EXFILTRATION
4,69,2,6,1,1.3028863203791503,2,26,0,FLIGHT_PLAN_INJECTION
3,75,7,2,1,28.35129673772769,6,6,1,EFB_DATA_EXFILTRATION
4,94,3,7,1,1.2459890079861375,3,48,0,FLIGHT_PLAN_INJECTION
6,60,6,1,1,37.46897875048575,6,7,1,EFB_DATA_EXFILTRATION
2,19,1,0,0,0.468414869662379,1,0,3,BENIGN
4,49,3,5,1,1.6989063545890826,2,49,0,FLIGHT_PLAN_INJECTION
2,6,0,0,0,0.38545610187291096,1,0,3,BENIGN
2,30,1,7,1,1.4079645532126985,3,44,0,FLIGHT_PLAN_INJECTION
4,73,3,4,1,0.29587811742611525,2,31,0,FLIGHT_PLAN_INJECTION
3,36,6,2,1,4.737054843100579,6,21,2,MAINTENANCE_LOG_TAMPERING
6,132,7,1,1,34.64525150198228,4,10,1,EFB_DATA_EXFILTRATION
1,13,1,0,0,0.11060472090980111,2,0,3,BENIGN
2,14,1,0,0,0.4626241587078329,1,1,3,BENIGN
4,56,7,3,1,18.380705331764787,6,12,1,EFB_DATA_EXFILTRATION
2,17,1,0,0,0.3725322740601102,2,2,3,BENIGN
4,66,5,1,1,8.462894073314413,3,15,1,EFB_DATA_EXFILTRATION
5,136,6,3,1,19.188065202377466,3,8,1,EFB_DATA_EXFILTRATION
3,32,6,2,1,8.916788608243778,5,21,2,MAINTENANCE_LOG_TAMPERING
4,71,2,5,1,1.761933178099979,2,37,0,FLIGHT_PLAN_INJECTION
2,15,0,0,0,0.004742716814249037,1,0,3,BENIGN
3,106,6,3,1,22.922932278903602,4,13,1,EFB_DATA_EXFILTRATION
6,54,3,2,1,5.150586291934065,3,18,1,EFB_DATA_EXFILTRATION
3,97,2,7,1,0.17997706030908758,2,40,0,FLIGHT_PLAN_INJECTION
0,19,0,0,0,0.19581507027017803,2,3,3,BENIGN
0,17,0,0,0,0.04470550115612976,2,2,3,BENIGN
1,13,0,0,0,0.49558431306848827,1,3,3,BENIGN
7,70,9,3,1,2.6913632113187074,5,18,2,MAINTENANCE_LOG_TAMPERING
4,35,1,7,1,1.296578053692691,4,36,0,FLIGHT_PLAN_INJECTION
6,110,5,2,1,28.186156594162664,4,18,1,EFB_DATA_EXFILTRATION
2,7,1,0,0,0.31146869146755934,1,0,3,BENIGN
4,147,5,1,1,22.602639473617092,5,16,1,EFB_DATA_EXFILTRATION
5,74,4,2,1,41.42822336261951,6,13,1,EFB_DATA_EXFILTRATION
5,147,6,3,1,5.228696291811168,5,9,1,EFB_DATA_EXFILTRATION
3,99,1,6,1,0.3079908341034624,2,32,0,FLIGHT_PLAN_INJECTION
7,51,9,4,1,8.334469176288916,7,17,2,MAINTENANCE_LOG_TAMPERING
5,32,9,2,1,8.846984870374001,6,25,2,MAINTENANCE_LOG_TAMPERING
3,78,7,5,1,7.22944827879283,6,22,2,MAINTENANCE_LOG_TAMPERING
4,55,7,3,1,2.297604627957556,4,20,2,MAINTENANCE_LOG_TAMPERING
0,7,0,0,0,0.41290837528238133,2,2,3,BENIGN
4,60,2,6,1,1.1567452965755383,2,48,0,FLIGHT_PLAN_INJECTION
3,42,2,5,1,1.9642537382521046,2,27,0,FLIGHT_PLAN_INJECTION
5,93,4,7,1,1.5817062507871729,3,38,0,FLIGHT_PLAN_INJECTION
4,60,6,4,1,4.225436508729368,6,14,2,MAINTENANCE_LOG_TAMPERING
5,49,4,6,1,0.22889041229982662,4,36,0,FLIGHT_PLAN_INJECTION
3,29,5,3,1,6.398697418791032,6,27,2,MAINTENANCE_LOG_TAMPERING
7,31,8,4,1,1.7358192812410036,4,21,2,MAINTENANCE_LOG_TAMPERING
4,62,2,5,1,0.5797666244079261,4,45,0,FLIGHT_PLAN_INJECTION
3,58,4,3,1,0.29416787741806605,2,26,0,FLIGHT_PLAN_INJECTION
3,78,5,2,1,39.777025100756205,6,10,1,EFB_DATA_EXFILTRATION
4,85,4,7,1,1.8928702483184379,2,46,0,FLIGHT_PLAN_INJECTION
2,13,0,0,0,0.4919888239799141,1,1,3,BENIGN
4,54,5,2,1,7.291778381921352,5,24,2,MAINTENANCE_LOG_TAMPERING
5,121,6,2,1,14.166556217432339,3,9,1,EFB_DATA_EXFILTRATION
4,75,2,6,1,0.1339375957088068,2,31,0,FLIGHT_PLAN_INJECTION
5,32,4,3,1,0.10234048681620919,4,36,0,FLIGHT_PLAN_INJECTION
6,55,5,3,1,2.642631353215487,7,11,2,MAINTENANCE_LOG_TAMPERING
5,32,5,5,1,4.913686668040197,5,27,2,MAINTENANCE_LOG_TAMPERING
5,87,5,1,1,39.06766704250505,6,10,1,EFB_DATA_EXFILTRATION
2,10,0,0,0,0.052465089209087434,1,3,3,BENIGN
2,10,1,0,0,0.1051747899594343,1,1,3,BENIGN
4,79,5,3,1,5.575300956776228,4,22,2,MAINTENANCE_LOG_TAMPERING
2,55,2,4,1,1.957186133998093,3,33,0,FLIGHT_PLAN_INJECTION
4,61,8,2,1,9.539724756375605,4,12,2,MAINTENANCE_LOG_TAMPERING
3,25,5,4,1,6.322969661223256,4,27,2,MAINTENANCE_LOG_TAMPERING
1,16,1,0,0,0.39171136297080733,1,2,3,BENIGN
5,133,6,2,1,41.77839964831222,4,19,1,EFB_DATA_EXFILTRATION
3,79,6,3,1,1.275484829290601,5,21,2,MAINTENANCE_LOG_TAMPERING
2,54,1,5,1,0.5165065759802842,4,33,0,FLIGHT_PLAN_INJECTION
6,142,7,3,1,6.964774596831253,6,6,1,EFB_DATA_EXFILTRATION
4,51,1,3,1,1.0372260088892191,3,38,0,FLIGHT_PLAN_INJECTION
7,73,5,4,1,4.894918089023505,5,29,2,MAINTENANCE_LOG_TAMPERING
6,63,8,5,1,0.8810373184185836,4,28,2,MAINTENANCE_LOG_TAMPERING
6,147,6,2,1,31.897560436513896,6,10,1,EFB_DATA_EXFILTRATION
5,70,6,3,1,3.911934781829199,6,22,2,MAINTENANCE_LOG_TAMPERING
3,64,3,3,1,39.920009316594324,6,18,1,EFB_DATA_EXFILTRATION
5,43,2,4,1,0.44385621014803056,2,25,0,FLIGHT_PLAN_INJECTION
4,109,7,3,1,31.681327992430184,5,13,1,EFB_DATA_EXFILTRATION
3,78,5,2,1,4.290936488302555,6,14,2,MAINTENANCE_LOG_TAMPERING
2,69,4,6,1,1.942659985649235,4,30,0,FLIGHT_PLAN_INJECTION
4,48,6,5,1,8.374391975884791,4,14,2,MAINTENANCE_LOG_TAMPERING
4,30,1,6,1,0.8207813208526051,4,24,0,FLIGHT_PLAN_INJECTION
6,86,3,1,1,36.74235173504916,6,16,1,EFB_DATA_EXFILTRATION
6,78,9,5,1,3.0626213094114014,5,18,2,MAINTENANCE_LOG_TAMPERING
6,75,7,1,1,10.494946130451206,4,9,1,EFB_DATA_EXFILTRATION
0,5,0,0,0,0.29233535022129437,2,1,3,BENIGN
4,137,5,3,1,5.782090558346583,3,6,1,EFB_DATA_EXFILTRATION
2,19,1,0,0,0.2577980142896251,2,3,3,BENIGN
5,94,6,2,1,14.083405345532677,5,12,1,EFB_DATA_EXFILTRATION
0,11,1,0,0,0.07808192239608697,2,4,3,BENIGN
2,6,0,0,0,0.4190576448240551,2,2,3,BENIGN
4,37,5,3,1,8.754597352547822,7,26,2,MAINTENANCE_LOG_TAMPERING
5,75,4,3,1,1.2411581308378485,4,35,0,FLIGHT_PLAN_INJECTION
7,60,6,3,1,6.7495303937288424,5,15,2,MAINTENANCE_LOG_TAMPERING
3,90,3,1,1,40.2073467826223,3,19,1,EFB_DATA_EXFILTRATION
6,53,9,3,1,3.6068150348507677,5,28,2,MAINTENANCE_LOG_TAMPERING
4,32,5,4,1,4.6380414907228635,6,10,2,MAINTENANCE_LOG_TAMPERING
3,44,1,6,1,1.2586804304475196,4,40,0,FLIGHT_PLAN_INJECTION
3,138,3,1,1,29.555909982296303,5,16,1,EFB_DATA_EXFILTRATION
4,95,2,3,1,0.8215929823405366,3,27,0,FLIGHT_PLAN_INJECTION
4,77,7,1,1,20.356152243177036,6,9,1,EFB_DATA_EXFILTRATION
3,128,6,3,1,22.74643957182576,5,10,1,EFB_DATA_EXFILTRATION
6,78,7,2,1,8.312737478762052,6,25,2,MAINTENANCE_LOG_TAMPERING
6,34,5,5,1,9.306828175564913,6,13,2,MAINTENANCE_LOG_TAMPERING
1,7,1,0,0,0.08316580387157108,2,4,3,BENIGN
4,58,3,6,1,1.1244064256829835,3,23,0,FLIGHT_PLAN_INJECTION
4,68,9,5,1,8.320153148158774,5,20,2,MAINTENANCE_LOG_TAMPERING
5,68,1,3,1,1.1778932172949168,3,43,0,FLIGHT_PLAN_INJECTION
1,11,1,0,0,0.2751132710781309,2,4,3,BENIGN
5,32,9,3,1,6.1386164066698985,5,18,2,MAINTENANCE_LOG_TAMPERING
4,76,9,3,1,9.050219672281106,7,26,2,MAINTENANCE_LOG_TAMPERING
2,97,2,5,1,1.7172310956202645,4,29,0,FLIGHT_PLAN_INJECTION
5,55,6,2,1,4.527475722676369,4,24,2,MAINTENANCE_LOG_TAMPERING
5,62,3,7,1,0.28185765548830727,2,34,0,FLIGHT_PLAN_INJECTION
4,61,3,4,1,0.5880793105268581,2,48,0,FLIGHT_PLAN_INJECTION
2,31,4,5,1,1.2343891421018143,3,22,0,FLIGHT_PLAN_INJECTION
3,88,3,1,1,5.7119491294512095,6,16,1,EFB_DATA_EXFILTRATION
6,45,6,5,1,3.1045263323181556,5,13,2,MAINTENANCE_LOG_TAMPERING
2,65,3,3,1,0.7144059680194894,4,25,0,FLIGHT_PLAN_INJECTION
6,62,3,2,1,35.132117726028284,6,15,1,EFB_DATA_EXFILTRATION
4,22,8,2,1,4.840157126363502,5,15,2,MAINTENANCE_LOG_TAMPERING
5,31,2,3,1,1.9914129323380885,4,49,0,FLIGHT_PLAN_INJECTION
4,93,4,1,1,12.888632406094683,5,19,1,EFB_DATA_EXFILTRATION
5,91,2,3,1,1.661432243412065,2,35,0,FLIGHT_PLAN_INJECTION
6,22,9,4,1,4.293501200188427,7,14,2,MAINTENANCE_LOG_TAMPERING
6,20,5,3,1,5.449100784084401,5,27,2,MAINTENANCE_LOG_TAMPERING
3,72,8,3,1,2.013388195880313,4,23,2,MAINTENANCE_LOG_TAMPERING
4,95,1,7,1,0.7580113603191067,2,28,0,FLIGHT_PLAN_INJECTION
5,101,4,2,1,28.2055742463424,5,10,1,EFB_DATA_EXFILTRATION
4,109,7,2,1,27.55188496319044,3,14,1,EFB_DATA_EXFILTRATION
3,84,4,2,1,37.463993029792924,5,11,1,EFB_DATA_EXFILTRATION
3,64,7,3,1,12.80860317439289,4,7,1,EFB_DATA_EXFILTRATION
6,131,4,1,1,30.882350772348122,3,10,1,EFB_DATA_EXFILTRATION
5,63,3,2,1,45.421773228171766,4,17,1,EFB_DATA_EXFILTRATION
5,90,3,1,1,21.539049003118915,6,9,1,EFB_DATA_EXFILTRATION
2,97,1,6,1,1.575774897896216,2,33,0,FLIGHT_PLAN_INJECTION
7,79,9,4,1,6.386085571529381,7,28,2,MAINTENANCE_LOG_TAMPERING
3,132,4,2,1,14.528990779946525,4,15,1,EFB_DATA_EXFILTRATION
3,42,7,2,1,1.8513690025283638,4,23,2,MAINTENANCE_LOG_TAMPERING
5,45,4,3,1,1.0679020434846005,4,27,0,FLIGHT_PLAN_INJECTION
6,71,9,5,1,6.729374889335735,5,16,2,MAINTENANCE_LOG_TAMPERING
7,71,9,4,1,3.9937138333342515,7,23,2,MAINTENANCE_LOG_TAMPERING
2,34,2,4,1,0.35422709893102855,2,41,0,FLIGHT_PLAN_INJECTION
7,29,6,5,1,5.585446248799621,4,22,2,MAINTENANCE_LOG_TAMPERING
3,82,2,7,1,1.9231956242099635,2,22,0,FLIGHT_PLAN_INJECTION
4,92,1,6,1,0.6054366282102234,2,45,0,FLIGHT_PLAN_INJECTION
3,81,4,6,1,1.33825023103084,4,28,0,FLIGHT_PLAN_INJECTION
7,57,6,2,1,9.58411081116501,4,18,2,MAINTENANCE_LOG_TAMPERING
5,38,1,3,1,1.6368785771090233,2,20,0,FLIGHT_PLAN_INJECTION
4,79,9,5,1,6.553414029678664,5,17,2,MAINTENANCE_LOG_TAMPERING
3,34,5,5,1,4.7808867389327,4,28,2,MAINTENANCE_LOG_TAMPERING
5,94,3,7,1,0.1908785587488004,2,42,0,FLIGHT_PLAN_INJECTION
7,70,7,5,1,0.8379232368377093,7,17,2,MAINTENANCE_LOG_TAMPERING
4,149,5,3,1,47.404192535293674,5,16,1,EFB_DATA_EXFILTRATION
4,54,7,2,1,42.374050538217794,6,14,1,EFB_DATA_EXFILTRATION
5,37,4,3,1,1.9543826142377057,4,37,0,FLIGHT_PLAN_INJECTION
5,97,2,3,1,1.3234180817281482,3,42,0,FLIGHT_PLAN_INJECTION
3,39,1,6,1,0.656361869731833,3,41,0,FLIGHT_PLAN_INJECTION
6,144,6,2,1,10.764308586479,5,5,1,EFB_DATA_EXFILTRATION
2,13,0,0,0,0.1879964449706557,2,3,3,BENIGN
4,71,6,2,1,46.774288978185965,6,7,1,EFB_DATA_EXFILTRATION
7,54,6,5,1,3.510763534776977,6,26,2,MAINTENANCE_LOG_TAMPERING
4,47,1,7,1,0.5200204057620841,3,27,0,FLIGHT_PLAN_INJECTION
6,51,7,5,1,5.677755729520914,6,22,2,MAINTENANCE_LOG_TAMPERING
2,81,3,4,1,0.5056715959902767,4,42,0,FLIGHT_PLAN_INJECTION
7,41,7,2,1,6.1083030593583425,7,12,2,MAINTENANCE_LOG_TAMPERING
4,52,1,6,1,1.3089535725605714,2,34,0,FLIGHT_PLAN_INJECTION
3,45,4,3,1,1.509252916874567,4,20,0,FLIGHT_PLAN_INJECTION
4,93,2,4,1,0.4876677057949078,3,40,0,FLIGHT_PLAN_INJECTION
5,46,6,2,1,4.06496909220533,4,29,2,MAINTENANCE_LOG_TAMPERING
4,139,4,2,1,42.47062112061695,4,18,1,EFB_DATA_EXFILTRATION
7,76,8,4,1,7.6845142499687995,6,15,2,MAINTENANCE_LOG_TAMPERING
